,label,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25
0,0,1.439771828301756,2.9001533083407076,1.65571226184454,5.5559877236916115,4.254662071101491,0.3531761187046222,-0.9978194461125255,-4.376887229994513,-2.352845810697736,1.6083028457971766,1.3590605608496382,5.624912876272791,-1.2784766814526793,-2.2499056551250205,-3.0692526391321264,7.080693464176997,-0.34103186395617413,1.4357342803619433,3.144013364082831,-2.627529763359186,5.517824774620684,1.067399515983811,-0.34103186395617413,-0.10958332390322054,3.002469212605791
1,1,1.9860879639961029,2.324862196090789,0.007829086163619409,-0.8717181341773168,0.9169690887959775,0.8298976525997801,-0.8424556475974597,-1.0923351859879387,2.708257914059072,-0.1294144273618404,1.5974073178476031,2.549605838315088,0.8535761816650104,1.8399412109103777,0.13539902879660418,4.72842349938465,2.962266492191295,2.177634324642759,-1.7339240956959445,0.45092977369871035,-2.8301866140853287,-0.13429543675648234,2.962266492191295,3.254961561668397,-0.3392538933076269
2,1,0.3362693049820569,3.0046125362099683,-1.9308752373907927,1.43939442930184,-0.6976184555166768,-1.0012737835661953,-0.25988947545066365,5.525993961190034,4.856762664724153,-0.41289490865224143,-0.17800848848005676,-2.2705189965804116,-0.5966571165549135,1.3841120378201353,0.47430254470986244,1.4804612564051134,-0.5674858100851542,2.470256330311093,-1.329089005465085,4.97545731890837,-2.585726072928479,-1.8372978155625297,-0.5674858100851542,-1.9462113701305923,-1.2537884068498646
3,0,2.0712285357787605,-1.4981633919453547,0.44064063723735836,-1.152636062569754,0.0487336667950328,0.40528218037723607,-0.9320249676799225,0.874657230697898,1.7792823797489496,-0.8263244585281192,1.479832737907283,-0.6858633457387647,0.4094473493324756,-0.5610013273444417,-1.6096983851491342,2.9423036827714686,1.7010707840612422,-1.9952321611648887,-1.6574811004489618,-4.598895659551572,-3.4335978278866204,3.623646008426684,1.7010707840612422,-5.552625602220035,-0.950720044776605
4,2,1.043075356646304,-2.732194054762346,-0.43143671787441507,-2.6323754498648753,1.7715089997301703,-0.8298705358669352,0.07666237469986159,-4.942675576014389,-2.2864791965242026,-0.9056259545557103,0.4862350723132197,-3.418458041758241,0.4902317635681852,1.8459021499000556,3.9860179751997498,2.583387467824289,-1.108800024341154,1.2085628172116105,2.278611377320139,2.748028263861911,-1.7537668647280218,-3.0944957667959616,-1.108800024341154,-3.736318448238942,-1.926332650829751
5,0,1.227484404134286,0.5402701258510553,-1.3220614924434582,-0.5297127818319131,-0.5372945218705248,0.899084867443899,-0.7945444866011813,-8.835507566887449,0.8620841359533685,0.06779380083017858,0.2591372316978811,0.6615857753061315,-0.347188364396397,-1.7482561332687592,-0.8278181157826852,2.4412196622615476,2.205001453496919,0.8035042571646227,-4.451691382397508,7.133075628879523,1.2281099736405805,0.3983896448540104,2.205001453496919,-1.2178829032001202,0.02349958246118225
6,0,0.878758314961396,-0.8413691115945513,-0.21886737854797592,1.4512827105840564,2.4168085547288083,-0.5635182888580449,-0.48334163953876796,-2.431493565985013,0.33840357474089044,-0.210798423718305,-1.1083375409274119,-1.2559917775415792,-0.45852672198927213,0.34706210878093224,-0.40938979686426646,-1.2876374387552854,-0.34228674747721943,-1.5238115350305619,3.405646436853657,1.5281211742117504,-2.437132636085535,1.2903512668660921,-0.34228674747721943,-1.2520834884989889,-2.540544745716982
7,2,-1.3442724556694288,2.788993948415453,0.2657276010927339,4.396001973184721,1.6376595366909976,-2.490289782540964,0.7187552346064101,-0.967378343128917,-4.939052411496503,-0.8245380583273499,-0.25899397077170183,1.2424917033125946,-0.835616205419989,-0.9051414373177543,0.2963853352984058,-3.268672616377215,-2.384097181452901,2.495077181988311,1.4501432460249652,-0.22240856680279705,-3.0484425050807498,-1.2952468758738114,-2.384097181452901,1.544499579454842,0.032788486685685264
8,2,-1.1032661916128899,1.7250975652619323,1.805571674168694,0.5064616552650508,-2.8532800837034507,-0.11220405798304225,1.816601743539756,-0.010834787012279218,-0.8201316610677898,-0.12894141206202567,0.6804623296503367,-0.4708700618837617,1.539610047366304,-3.7870604452240175,2.701035575141304,-2.560632865504752,-3.6257464117578904,2.6671469964154686,-0.2660745565862931,-1.1819231826020902,3.3872275135210734,-2.173110511558984,-3.6257464117578904,3.0555810168978916,1.74045769016714
9,1,-0.4301987836546254,-1.6158954718569483,1.1174560162865361,1.0988254183921116,1.3796273397108845,-0.778727101809276,2.030180482064758,-2.391793805759936,-0.26387414338462734,0.022803051731643653,-0.6184314353502701,1.8113380525631544,-0.6768017577286892,-2.3006552355382843,-4.193969498992198,2.9877674534519434,4.012141905873175,-3.8972333441012257,4.226139834923762,2.4537140052790707,3.9284544101582997,-0.9630094961325505,4.012141905873175,3.7141993156902107,-3.353001066764841
